id	category	domain	seconds	trim_start	provider	creator	license	license_url	source_page	download_url
strong_waves_short	Strong waves on shore	ocean_surf	12	5	Freesound via Openverse	ivolipa	CC0 1.0	https://creativecommons.org/publicdomain/zero/1.0/	https://freesound.org/people/ivolipa/sounds/368316	https://cdn.freesound.org/previews/368/368316_3474310-hq.mp3
mount_desert_surf_long	Mount Desert Island surf	ocean_surf	30	100	Freesound via Openverse	be-steele	CC0 1.0	https://creativecommons.org/publicdomain/zero/1.0/	https://freesound.org/people/be-steele/sounds/128239	https://cdn.freesound.org/previews/128/128239_589889-hq.mp3
river_rapids_short	Close river rapids	river_rapids	8	2	Freesound via Openverse	Breviceps	CC0 1.0	https://creativecommons.org/publicdomain/zero/1.0/	https://freesound.org/people/Breviceps/sounds/573585	https://cdn.freesound.org/previews/573/573585_9159316-hq.mp3
mountain_river_long	Mountain river rapids	river_rapids	30	10	Freesound via Openverse	Auxide_Audio	CC0 1.0	https://creativecommons.org/publicdomain/zero/1.0/	https://freesound.org/people/Auxide_Audio/sounds/588179	https://cdn.freesound.org/previews/588/588179_13207434-hq.mp3
frozen_lake_crack_short	Frozen-lake ice crack	ice_cracking	10	3	Freesound via Openverse	Andrew5DMII	CC BY 3.0	https://creativecommons.org/licenses/by/3.0/	https://freesound.org/people/Andrew5DMII/sounds/146419	https://cdn.freesound.org/previews/146/146419_1392098-hq.mp3
water_under_ice_long	Water moving beneath ice	ice_cracking	30	100	Freesound via Openverse	vhio	CC0 1.0	https://creativecommons.org/publicdomain/zero/1.0/	https://freesound.org/people/vhio/sounds/790541	https://cdn.freesound.org/previews/790/790541_15774433-hq.mp3
underwater_bubbles_short	Underwater bubbles	underwater_hydrophone	10	4	Freesound via Openverse	JavierSerrat	CC0 1.0	https://creativecommons.org/publicdomain/zero/1.0/	https://freesound.org/people/JavierSerrat/sounds/464187	https://cdn.freesound.org/previews/464/464187_3518208-hq.mp3
underwater_river_long	Small river underwater	underwater_hydrophone	30	50	Freesound via Openverse	melarancida	CC0 1.0	https://creativecommons.org/publicdomain/zero/1.0/	https://freesound.org/people/melarancida/sounds/48408	https://cdn.freesound.org/previews/48/48408_481778-hq.mp3
burning_fire_short	Close burning fire	campfire	8	2	Freesound via Openverse	wwstudioswastaken	CC0 1.0	https://creativecommons.org/publicdomain/zero/1.0/	https://freesound.org/people/wwstudioswastaken/sounds/613591	https://cdn.freesound.org/previews/613/613591_13582756-hq.mp3
fireplace_long	Lit fireplace	campfire	30	40	Freesound via Openverse	lurpsis	CC0 1.0	https://creativecommons.org/publicdomain/zero/1.0/	https://freesound.org/people/lurpsis/sounds/444127	https://cdn.freesound.org/previews/444/444127_1744434-hq.mp3
bee_buzz_short	Close bee buzz	beehive	10	3	Freesound via Openverse	AKkingStudio	CC0 1.0	https://creativecommons.org/publicdomain/zero/1.0/	https://freesound.org/people/AKkingStudio/sounds/582683	https://cdn.freesound.org/previews/582/582683_10842165-hq.mp3
beehive_long	Active beehive	beehive	30	15	Freesound via Openverse	trezz77	CC0 1.0	https://creativecommons.org/publicdomain/zero/1.0/	https://freesound.org/people/trezz77/sounds/546934	https://cdn.freesound.org/previews/546/546934_5637404-hq.mp3
sheep_barn_short	Sheep bleating in barn	farm_barn	8	2	Freesound via Openverse	Cigaro30	CC0 1.0	https://creativecommons.org/publicdomain/zero/1.0/	https://freesound.org/people/Cigaro30/sounds/725041	https://cdn.freesound.org/previews/725/725041_3890135-hq.mp3
barn_ambience_long	Mixed barn ambience	farm_barn	30	200	Freesound via Openverse	bone666138	CC BY 4.0	https://creativecommons.org/licenses/by/4.0/	https://freesound.org/people/bone666138/sounds/198891	https://cdn.freesound.org/previews/198/198891_285997-hq.mp3
terminal_short	Airport terminal concourse	airport_terminal	12	4	Freesound via Openverse	ToXXuS	CC0 1.0	https://creativecommons.org/publicdomain/zero/1.0/	https://freesound.org/people/ToXXuS/sounds/591235	https://cdn.freesound.org/previews/591/591235_3669819-hq.mp3
stuttgart_airport_long	Stuttgart airport terminal	airport_terminal	30	100	Freesound via Openverse	FreeToUseSounds	CC0 1.0	https://creativecommons.org/publicdomain/zero/1.0/	https://freesound.org/people/FreeToUseSounds/sounds/394173	https://cdn.freesound.org/previews/394/394173_7266967-hq.mp3
cruise_boat_short	Small cruise boat passing	ferry_interior	8	1	Freesound via Openverse	Windows9inety5ive	CC BY 4.0	https://creativecommons.org/licenses/by/4.0/	https://freesound.org/people/Windows9inety5ive/sounds/646551	https://cdn.freesound.org/previews/646/646551_13983240-hq.mp3
arran_ferry_long	Arran ferry ambience	ferry_interior	30	100	Freesound via Openverse	Andy_Gardner	CC0 1.0	https://creativecommons.org/publicdomain/zero/1.0/	https://freesound.org/people/Andy_Gardner/sounds/251444	https://cdn.freesound.org/previews/251/251444_2254206-hq.mp3
marina_noon_short	Marina at noon	harbor_marina	12	5	Freesound via Openverse	klankbeeld	CC BY 4.0	https://creativecommons.org/licenses/by/4.0/	https://freesound.org/people/klankbeeld/sounds/660294	https://cdn.freesound.org/previews/660/660294_1648170-hq.mp3
marina_boats_long	Marina boats ambience	harbor_marina	30	80	Freesound via Openverse	klankbeeld	CC BY 4.0	https://creativecommons.org/licenses/by/4.0/	https://freesound.org/people/klankbeeld/sounds/684099	https://cdn.freesound.org/previews/684/684099_1648170-hq.mp3
busy_kitchen_short	Busy Dutch restaurant kitchen	restaurant_kitchen	12	5	Freesound via Openverse	hz37	CC0 1.0	https://creativecommons.org/publicdomain/zero/1.0/	https://freesound.org/people/hz37/sounds/463302	https://cdn.freesound.org/previews/463/463302_123355-hq.mp3
fast_food_long	Fast-food restaurant ambience	restaurant_kitchen	30	100	Freesound via Openverse	lauramellis	CC0 1.0	https://creativecommons.org/publicdomain/zero/1.0/	https://freesound.org/people/lauramellis/sounds/271443	https://cdn.freesound.org/previews/271/271443_672090-hq.mp3
school_canteen_short	Busy school canteen	school_cafeteria	12	5	Freesound via Openverse	meetvasude1	CC0 1.0	https://creativecommons.org/publicdomain/zero/1.0/	https://freesound.org/people/meetvasude1/sounds/719054	https://cdn.freesound.org/previews/719/719054_14976713-hq.mp3
cafeteria_long	Cafeteria room ambience	school_cafeteria	30	40	Freesound via Openverse	GaryQ	CC0 1.0	https://creativecommons.org/publicdomain/zero/1.0/	https://freesound.org/people/GaryQ/sounds/128291	https://cdn.freesound.org/previews/128/128291_1931452-hq.mp3
church_bell_short	Cathedral morning bell	cathedral	12	5	Freesound via Openverse	klankbeeld	CC BY 4.0	https://creativecommons.org/licenses/by/4.0/	https://freesound.org/people/klankbeeld/sounds/252765	https://cdn.freesound.org/previews/252/252765_1648170-hq.mp3
cathedral_room_long	Cathedral interior room tone	cathedral	30	200	Freesound via Openverse	klankbeeld	CC BY 4.0	https://creativecommons.org/licenses/by/4.0/	https://freesound.org/people/klankbeeld/sounds/170689	https://cdn.freesound.org/previews/170/170689_1648170-hq.mp3
